flower,peak_season,available_months,region
Rose,Summer,Jan-Dec (year-round via greenhouse),Global
Tulip,Spring,Jan-Apr,Northern Hemisphere
Daffodil,Spring,Feb-Apr,Northern Hemisphere
Hyacinth,Spring,Feb-Apr,Northern Hemisphere
Peony,Late Spring,May-Jun,Northern Hemisphere
Ranunculus,Spring,Feb-May,Northern Hemisphere
Anemone,Spring,Feb-May,Northern Hemisphere
Lilac,Spring,Apr-May,Northern Hemisphere
Sweet Pea,Spring,Mar-Jun,Northern Hemisphere
Sunflower,Summer,Jun-Sep,Northern Hemisphere
Dahlia,Late Summer,Jul-Oct,Northern Hemisphere
Zinnia,Summer,Jun-Sep,Northern Hemisphere
Hydrangea,Summer,Jun-Sep,Northern Hemisphere
Delphinium,Summer,Jun-Aug,Northern Hemisphere
Lisianthus,Summer,Jun-Sep,Northern Hemisphere
Stock,Summer,May-Aug,Northern Hemisphere
Snapdragon,Summer,Jun-Sep,Northern Hemisphere
Chrysanthemum,Fall,Sep-Nov (year-round via greenhouse),Global
Marigold,Fall,Sep-Nov,Northern Hemisphere
Celosia,Fall,Aug-Oct,Northern Hemisphere
Amaranthus,Fall,Aug-Oct,Northern Hemisphere
Amaryllis,Winter,Nov-Feb,Northern Hemisphere
Poinsettia,Winter,Nov-Dec,Northern Hemisphere
Holly,Winter,Nov-Jan,Northern Hemisphere
Paperwhite (Narcissus),Winter,Dec-Feb,Northern Hemisphere
Hellebore,Winter,Dec-Mar,Northern Hemisphere
Carnation,Year-round,Jan-Dec,Global
Alstroemeria,Year-round,Jan-Dec,Global
Gerbera Daisy,Year-round,Jan-Dec,Global
Orchid,Year-round,Jan-Dec,Global
Lily,Year-round,Jan-Dec (greenhouse),Global
Calla Lily,Late Spring-Summer,Apr-Aug,Northern Hemisphere
Statice,Summer,Jun-Sep,Northern Hemisphere
Protea,Winter-Spring,Nov-Apr,Southern Hemisphere origin
Freesia,Winter-Spring,Dec-Apr,Northern Hemisphere
Iris,Spring,Mar-May,Northern Hemisphere
Gladiolus,Summer,Jul-Sep,Northern Hemisphere
Bird of Paradise,Year-round,Jan-Dec,Tropical/imported
Baby's Breath,Year-round,Jan-Dec,Global
